movieId,category
0,145
1,115
2,207
3,185
4,176
5,63
6,207
7,106
8,0
9,37
10,187
11,196
12,144
13,239
14,29
15,260
16,252
17,298
18,176
19,0
20,47
21,225
22,298
23,258
24,252
25,239
26,239
27,290
28,138
29,239
30,239
31,258
32,136
33,161
34,252
35,239
36,235
37,176
38,207
39,239
40,262
41,57
42,239
43,1
44,185
45,252
46,234
47,153
48,252
49,234
50,71
51,176
52,239
53,160
54,239
55,115
56,239
57,252
58,248
59,115
60,260
61,239
62,176
63,207
64,176
65,295
66,239
67,207
68,176
69,46
70,0
71,185
72,246
73,252
74,185
75,295
76,235
77,239
78,260
79,239
80,222
81,239
82,239
83,185
84,252
85,126
86,160
87,176
88,92
89,239
90,260
91,207
92,239
93,92
94,176
95,239
96,92
97,235
98,260
99,176
100,176
101,298
102,176
103,252
104,185
105,111
106,235
107,176
108,73
109,260
110,16
111,248
112,239
113,176
114,235
115,216
116,207
117,176
118,239
119,239
120,207
121,249
122,239
123,176
124,115
125,239
126,235
127,207
128,239
129,252
130,298
131,185
132,235
133,176
134,235
135,235
136,239
137,64
138,252
139,176
140,239
141,239
142,176
143,0
144,106
145,239
146,239
147,225
148,239
149,255
150,274
151,10
152,239
153,262
154,176
155,214
156,106
157,239
158,28
159,261
160,235
161,84
162,228
163,92
164,185
165,239
166,20
167,112
168,63
169,176
170,87
171,33
172,176
173,239
174,176
175,274
176,176
177,252
178,176
179,41
180,252
181,298
182,239
183,295
184,176
185,176
186,274
187,176
188,298
189,239
190,235
191,239
192,239
193,187
194,278
195,239
196,62
197,246
198,298
199,239
200,252
201,176
202,0
203,185
204,235
205,252
206,1
207,239
208,300
209,239
210,176
211,239
212,239
213,252
214,176
215,260
216,185
217,239
218,274
219,252
220,176
221,187
222,260
223,298
224,0
225,176
226,260
227,260
228,176
229,185
230,239
231,176
232,185
233,207
234,207
235,106
236,148
237,298
238,167
239,246
240,176
241,144
242,217
243,235
244,241
245,176
246,252
247,160
248,0
249,207
250,244
251,239
252,176
253,211
254,289
255,109
256,225
257,24
258,239
259,167
260,239
261,239
262,252
263,256
264,176
265,239
266,239
267,252
268,239
269,239
270,244
271,176
272,176
273,207
274,239
275,176
276,239
277,260
278,239
279,239
280,217
281,56
282,244
283,87
284,207
285,92
286,207
287,217
288,298
289,71
290,223
291,207
292,207
293,217
294,239
295,176
296,239
297,239
298,252
299,252
300,39
301,185
302,176
303,239
304,239
305,239
306,239
307,176
308,280
309,176
310,144
311,239
312,0
313,33
314,162
315,239
316,298
317,273
318,239
319,185
320,176
321,176
322,239
323,50
324,274
325,33
326,196
327,239
328,278
329,176
330,239
331,289
332,262
333,239
334,295
335,207
336,126
337,239
338,207
339,159
340,176
341,185
342,246
343,239
344,176
345,37
346,251
347,187
348,176
349,84
350,239
351,160
352,210
353,207
354,239
355,187
356,43
357,252
358,118
359,235
360,152
361,239
362,274
363,180
364,55
365,239
366,176
367,185
368,185
369,298
370,160
371,239
372,92
373,84
374,207
375,86
376,13
377,239
378,244
379,300
380,0
381,239
382,239
383,43
384,239
385,255
386,47
387,217
388,106
389,0
390,0
391,239
392,239
393,274
394,235
395,239
396,239
397,92
398,176
399,178
400,235
401,86
402,239
403,280
404,239
405,239
406,176
407,176
408,239
409,176
410,176
411,213
412,300
413,207
414,239
415,176
416,43
417,106
418,298
419,92
420,239
421,252
422,279
423,286
424,239
425,176
426,239
427,217
428,215
429,176
430,16
431,211
432,260
433,176
434,43
435,239
436,207
437,176
438,86
439,235
440,207
441,176
442,252
443,207
444,239
445,176
446,185
447,249
448,239
449,176
450,260
451,112
452,239
453,92
454,263
455,0
456,176
457,252
458,1
459,225
460,18
461,73
462,54
463,176
464,207
465,252
466,176
467,207
468,185
469,214
470,92
471,239
472,185
473,239
474,176
475,0
476,33
477,260
478,298
479,239
480,106
481,43
482,176
483,215
484,239
485,176
486,298
487,239
488,203
489,57
490,92
491,239
492,187
493,207
494,252
495,207
496,176
497,239
498,41
499,239
500,86
501,176
502,239
503,64
504,239
505,252
506,239
507,64
508,278
509,204
510,176
511,239
512,190
513,66
514,176
515,295
516,176
517,234
518,64
519,239
520,239
521,239
522,239
523,262
524,239
525,239
526,239
527,167
528,181
529,0
530,252
531,239
532,239
533,185
534,239
535,207
536,298
537,271
538,176
539,209
540,0
541,239
542,8
543,37
544,0
545,235
546,207
547,163
548,9
549,300
550,298
551,61
552,235
553,239
554,3
555,176
556,239
557,298
558,185
559,239
560,176
561,274
562,207
563,239
564,185
565,160
566,185
567,239
568,239
569,239
570,185
571,160
572,176
573,106
574,248
575,298
576,239
577,235
578,176
579,185
580,239
581,176
582,160
583,209
584,146
585,87
586,130
587,71
588,17
589,260
590,152
591,152
592,144
593,207
594,176
595,300
596,298
597,239
598,235
599,176
600,235
601,252
602,274
603,239
604,225
605,106
606,4
607,76
608,176
609,252
610,260
611,239
612,144
613,239
614,207
615,176
616,239
617,239
618,290
619,71
620,239
621,176
622,260
623,260
624,239
625,252
626,152
627,299
628,176
629,176
630,185
631,239
632,176
633,290
634,176
635,260
636,176
637,239
638,176
639,176
640,239
641,262
642,27
643,185
644,239
645,176
646,285
647,23
648,252
649,176
650,176
651,185
652,239
653,234
654,239
655,152
656,298
657,176
658,176
659,299
660,239
661,0
662,239
663,239
664,239
665,211
666,239
667,98
668,138
669,71
670,239
671,260
672,239
673,294
674,216
675,236
676,235
677,239
678,239
679,252
680,15
681,290
682,207
683,87
684,239
685,0
686,289
687,298
688,252
689,239
690,239
691,176
692,239
693,239
694,239
695,1
696,176
697,239
698,229
699,207
700,144
701,176
702,106
703,239
704,239
705,300
706,239
707,216
708,176
709,211
710,176
711,143
712,239
713,235
714,239
715,244
716,176
717,239
718,235
719,176
720,239
721,239
722,289
723,216
724,37
725,176
726,196
727,31
728,86
729,239
730,176
731,158
732,280
733,176
734,239
735,155
736,266
737,176
738,87
739,239
740,297
741,176
742,207
743,185
744,106
745,167
746,235
747,239
748,239
749,235
750,299
751,96
752,177
753,239
754,252
755,185
756,239
757,239
758,239
759,235
760,239
761,185
762,176
763,239
764,239
765,274
766,185
767,299
768,239
769,252
770,90
771,239
772,298
773,152
774,176
775,176
776,92
777,235
778,194
779,239
780,239
781,235
782,264
783,239
784,185
785,239
786,239
787,176
788,37
789,196
790,248
791,160
792,252
793,290
794,207
795,239
796,239
797,207
798,106
799,1
800,162
801,176
802,239
803,176
804,239
805,81
806,239
807,176
808,185
809,239
810,290
811,239
812,239
813,239
814,207
815,239
816,239
817,106
818,201
819,176
820,239
821,260
822,176
823,176
824,239
825,37
826,160
827,187
828,92
829,176
830,274
831,274
832,239
833,239
834,239
835,239
836,185
837,239
838,34
839,217
840,239
841,207
842,239
843,239
844,239
845,176
846,239
847,57
848,235
849,176
850,92
851,239
852,176
853,185
854,239
855,223
856,177
857,176
858,216
859,176
860,176
861,239
862,239
863,217
864,239
865,0
866,239
867,239
868,274
869,295
870,160
871,260
872,239
873,168
874,0
875,239
876,144
877,290
878,298
879,280
880,187
881,239
882,290
883,239
884,239
885,141
886,207
887,282
888,282
889,201
890,252
891,289
892,289
893,176
894,289
895,202
896,260
897,185
898,177
899,205
900,255
901,268
902,282
903,207
904,207
905,167
906,281
907,113
908,255
909,176
910,266
911,239
912,250
913,136
914,239
915,176
916,291
917,298
918,270
919,286
920,290
921,209
922,176
923,201
924,207
925,207
926,281
927,185
928,1
929,96
930,227
931,252
932,239
933,202
934,190
935,176
936,239
937,239
938,285
939,176
940,120
941,239
942,239
943,176
944,252
945,239
946,203
947,239
948,217
949,239
950,217
951,281
952,300
953,298
954,239
955,300
956,278
957,32
958,185
959,239
960,239
961,239
962,252
963,201
964,292
965,285
966,239
967,262
968,0
969,239
970,239
971,290
972,185
973,235
974,106
975,252
976,185
977,239
978,37
979,262
980,298
981,239
982,239
983,74
984,260
985,56
986,216
987,216
988,176
989,176
990,260
991,92
992,160
993,239
994,166
995,300
996,115
997,160
998,107
999,167
1000,167
1001,161
1002,106
1003,160
1004,106
1005,164
1006,116
1007,176
1008,160
1009,152
1010,144
1011,152
1012,144
1013,167
1014,239
1015,163
1016,152
1017,101
1018,117
1019,152
1020,144
1021,216
1022,281
1023,92
1024,87
1025,239
1026,235
1027,239
1028,239
1029,176
1030,252
1031,239
1032,185
1033,252
1034,92
1035,1
1036,236
1037,239
1038,239
1039,217
1040,239
1041,298
1042,239
1043,202
1044,239
1045,252
1046,185
1047,217
1048,239
1049,239
1050,145
1051,285
1052,202
1053,202
1054,226
1055,273
1056,96
1057,292
1058,108
1059,176
1060,298
1061,211
1062,214
1063,176
1064,176
1065,201
1066,239
1067,201
1068,217
1069,126
1070,289
1071,281
1072,282
1073,234
1074,262
1075,176
1076,289
1077,246
1078,255
1079,239
1080,239
1081,169
1082,176
1083,239
1084,82
1085,82
1086,0
1087,239
1088,239
1089,274
1090,235
1091,176
1092,235
1093,239
1094,0
1095,235
1096,64
1097,176
1098,239
1099,185
1100,239
1101,239
1102,142
1103,239
1104,239
1105,239
1106,235
1107,235
1108,239
1109,176
1110,192
1111,34
1112,274
1113,34
1114,274
1115,239
1116,239
1117,185
1118,64
1119,176
1120,176
1121,290
1122,235
1123,239
1124,239
1125,239
1126,239
1127,176
1128,235
1129,235
1130,185
1131,235
1132,154
1133,236
1134,239
1135,155
1136,229
1137,266
1138,266
1139,239
1140,239
1141,239
1142,176
1143,290
1144,176
1145,239
1146,176
1147,239
1148,239
1149,260
1150,176
1151,176
1152,274
1153,235
1154,0
1155,176
1156,187
1157,239
1158,176
1159,211
1160,239
1161,239
1162,262
1163,218
1164,176
1165,0
1166,255
1167,214
1168,239
1169,239
1170,239
1171,207
1172,235
1173,239
1174,235
1175,235
1176,239
1177,176
1178,21
1179,13
1180,1
1181,294
1182,88
1183,95
1184,176
1185,239
1186,141
1187,40
1188,294
1189,239
1190,262
1191,300
1192,30
1193,187
1194,289
1195,217
1196,77
1197,12
1198,136
1199,262
1200,92
1201,280
1202,49
1203,57
1204,73
1205,154
1206,262
1207,239
1208,207
1209,225
1210,239
1211,207
1212,239
1213,287
1214,73
1215,177
1216,176
1217,185
1218,239
1219,176
1220,87
1221,196
1222,73
1223,185
1224,187
1225,239
1226,239
